 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,Address,Latitude,Longitude,מס מפלגה הכי נבחרת,מפלגה הכי נבחרת
ירושלים,3000,394,494,343,0,343,104,3,3,0,0,0,61,0,0,0,0,26,3,72,41,2,0,0,0,18,0,0,4,6,0,0,"הורקניה,21 ",31.757763,35.202188,1,אמת
ירושלים,3000,395,412,281,3,278,58,2,4,0,0,0,66,0,0,0,0,23,2,65,26,1,0,0,0,16,0,1,2,11,0,1,"אהרוני,14 ",31.763057,35.20503,7,טב
ירושלים,3000,396,505,392,0,392,97,0,0,0,0,0,20,0,0,0,0,28,3,119,43,1,0,0,0,66,0,0,5,5,0,5,"האייל,72 ",31.749622,35.181808,14,מחל
ירושלים,3000,397,432,244,1,243,5,28,0,0,0,0,43,0,0,0,0,7,0,49,0,0,0,0,0,3,0,0,1,66,0,41,"חכמי יוסף,28א",31.765496,35.189055,24,קץ
ירושלים,3000,398,496,375,0,375,48,9,0,0,0,0,13,0,0,0,0,22,5,179,7,0,0,0,0,38,0,1,6,27,0,20,"חכמי יוסף,28א",31.765496,35.189055,14,מחל
ירושלים,3000,399,716,561,5,556,61,84,0,0,0,0,130,1,0,0,0,11,18,137,17,0,0,0,0,16,0,1,1,41,0,38,"מן,7 ",31.760715,35.197993,14,מחל
ירושלים,3000,400,681,527,2,525,8,66,0,0,0,0,167,0,0,0,0,16,6,107,6,1,0,0,0,11,0,0,0,73,0,64,"מן,7 ",31.760715,35.197993,7,טב
ירושלים,3000,401,583,323,0,323,88,4,3,0,0,0,45,0,0,0,0,22,1,81,40,0,0,0,0,27,0,0,1,7,0,4,"אהרוני,14 ",31.763057,35.20503,1,אמת
ירושלים,3000,402,632,486,7,479,11,57,0,0,0,0,127,0,0,0,0,13,1,111,0,0,0,0,0,10,0,0,4,69,0,76,"מן,7 ",31.760715,35.197993,7,טב
ירושלים,3000,403,732,524,2,522,129,3,2,0,0,0,114,0,0,0,0,39,6,128,42,0,0,0,0,38,0,1,4,12,0,4,"הורקניה,21 ",31.757763,35.202188,1,אמת
ירושלים,3000,404,629,444,2,442,106,4,1,0,0,0,98,0,1,0,0,15,5,131,30,3,0,0,0,23,0,0,8,11,1,5,"אהרוני,14 ",31.763057,35.20503,14,מחל
ירושלים,3000,405,629,418,2,416,84,1,0,0,1,0,59,0,0,0,0,34,4,134,30,4,0,0,0,43,0,0,3,13,0,6,"בן לברט,15 ",31.770876,35.20999,14,מחל
ירושלים,3000,406,524,327,2,325,93,3,0,0,0,0,49,0,0,0,0,12,3,101,24,4,0,0,0,19,0,0,3,11,0,3,"הפלמ""ח,57 ",31.76422,35.207125,14,מחל
ירושלים,3000,407,556,338,1,337,78,4,2,0,0,0,63,0,0,0,0,23,1,85,45,1,0,0,0,23,1,0,1,8,0,2,"הגדוד העברי,22 ",31.767031,35.214505,14,מחל
ירושלים,3000,408,656,426,4,422,102,6,3,0,0,0,81,0,0,0,0,20,4,106,62,0,0,0,0,23,0,0,2,10,1,2,"הפלמ""ח,57 ",31.76422,35.207125,14,מחל
ירושלים,3000,409,571,421,5,416,39,16,0,0,0,0,140,0,0,0,0,13,6,91,13,1,0,0,0,11,0,0,1,55,0,30,"מן,7 ",31.760715,35.197993,7,טב
ירושלים,3000,410,557,378,1,377,119,3,6,0,0,0,52,0,0,0,0,20,3,66,66,1,0,0,0,25,0,0,3,7,1,5,"אהרוני,14 ",31.763057,35.20503,1,אמת
ירושלים,3000,411,689,460,0,460,45,28,2,0,0,0,95,0,0,0,0,17,18,109,18,0,0,0,0,23,0,0,1,72,0,32,"מן,7 ",31.760715,35.197993,14,מחל
ירושלים,3000,412,629,406,4,402,68,10,3,0,0,0,95,0,0,0,0,24,6,104,31,3,0,0,0,32,0,1,1,14,0,10,"הפלמ""ח,57 ",31.76422,35.207125,14,מחל
ירושלים,3000,413,515,358,2,356,9,128,1,0,0,0,9,0,0,0,0,7,0,36,4,1,0,0,0,5,1,0,0,51,0,104,"ילין דוד,41 ",31.786663,35.214109,2,ג
ירושלים,3000,414,571,451,2,449,144,1,0,0,0,0,32,0,0,0,0,36,10,129,37,0,0,0,0,50,0,0,6,2,0,2,"שד הרצל,137 ",31.777009,35.186142,1,אמת
ירושלים,3000,415,559,404,2,402,31,50,0,0,0,0,31,0,0,0,0,31,6,134,2,1,0,0,0,16,0,0,1,48,0,51,"חכמי יוסף,28א",31.765496,35.189055,14,מחל
ירושלים,3000,416,501,315,6,309,41,33,3,0,0,0,21,0,0,0,0,14,25,70,15,0,0,0,0,20,0,0,2,50,0,15,"אולשוונגר,3 ",31.768319,35.21371,14,מחל
ירושלים,3000,417,516,428,16,412,1,317,0,0,0,0,10,0,0,0,0,3,0,10,1,1,0,0,0,0,0,0,1,25,0,43,"שערי תורה,2 ",31.766379,35.182718,2,ג
ירושלים,3000,418,525,400,10,390,2,209,0,0,0,0,12,0,0,0,0,2,0,9,1,0,0,0,0,1,0,0,0,42,0,112,"הרב פרנק,20 ",31.763869,35.185162,2,ג
ירושלים,3000,420,590,402,11,391,7,164,0,0,0,1,30,0,0,0,0,6,0,50,2,0,0,0,1,6,0,0,1,47,0,76,"חכמי יוסף,28א",31.765496,35.189055,2,ג
ירושלים,3000,421,465,306,1,305,112,1,2,0,0,0,11,0,0,0,0,19,7,62,57,1,0,0,0,24,0,0,2,5,0,2,"החלוץ,47 ",31.77704,35.190838,1,אמת
ירושלים,3000,422,454,329,4,325,71,6,1,0,0,0,38,0,0,0,0,36,5,102,13,0,0,0,0,23,0,0,1,12,0,17,"רזיאל דוד,13 ",31.750036,35.232961,14,מחל
ירושלים,3000,423,434,313,0,313,28,3,1,0,0,0,28,0,0,0,0,21,26,144,6,0,0,0,0,18,0,0,0,18,0,20,"תמיר שמואל,74 ",31.820235,35.23695,14,מחל
ירושלים,3000,424,642,536,10,526,1,180,1,0,0,0,42,0,0,0,0,2,0,31,0,0,0,0,0,2,0,0,1,92,0,174,"נג'ארה,27 ",31.790609,35.191615,2,ג
ירושלים,3000,425,402,238,1,237,10,1,0,0,0,0,21,0,0,0,0,16,11,98,4,0,0,0,7,0,0,0,1,23,0,45,"דהומיי,6 ",31.756195,35.165522,14,מחל
ירושלים,3000,426,627,362,6,356,18,15,0,0,0,0,17,0,0,0,0,35,18,165,2,0,0,0,0,10,0,0,9,17,0,50,"בר יוחאי,53 ",31.75354,35.197873,14,מחל
ירושלים,3000,427,527,255,3,252,2,6,230,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,4,0,0,0,0,0,0,1,בית צפפה,31.749213,35.204071,3,ודעם
ירושלים,3000,428,608,380,4,376,76,11,4,0,0,0,64,0,0,0,0,32,4,111,32,0,0,0,0,22,0,0,3,9,0,8,"כובשי קטמון,15 ",31.765218,35.21151,14,מחל
ירושלים,3000,429,582,370,3,367,39,13,0,0,0,0,91,0,0,0,0,17,0,123,29,2,0,0,0,26,0,0,2,18,0,7,"הפלמ""ח,57 ",31.76422,35.207125,14,מחל
ירושלים,3000,430,577,408,2,406,84,12,8,0,0,0,79,0,0,0,0,32,2,101,50,0,0,0,0,15,0,0,4,11,0,8,"כובשי קטמון,15 ",31.765218,35.21151,14,מחל
ירושלים,3000,431,626,409,1,408,42,35,1,0,0,1,102,0,0,0,0,21,2,140,18,1,0,0,0,11,0,0,3,23,0,8,"כובשי קטמון,15 ",31.765218,35.21151,14,מחל
ירושלים,3000,432,691,449,2,447,82,33,3,0,0,0,97,0,0,0,0,18,8,110,41,1,0,0,0,16,0,0,1,28,0,9,"כובשי קטמון,15 ",31.765218,35.21151,14,מחל
ירושלים,3000,433,421,274,3,271,77,7,6,0,0,0,52,0,0,0,0,10,0,70,30,0,0,0,0,14,0,0,1,2,0,2,"כט' בנובמבר,13 ",31.766343,35.215624,1,אמת
ירושלים,3000,434,715,475,5,470,118,14,3,0,0,0,82,0,0,0,0,21,4,120,60,2,0,0,0,26,0,0,4,13,0,3,"כובשי קטמון,15 ",31.765218,35.21151,14,מחל
ירושלים,3000,435,566,365,2,363,98,7,6,0,0,0,44,0,0,0,0,24,1,81,72,1,0,0,0,18,0,0,5,5,0,1,"הגדוד העברי,22 ",31.767031,35.214505,1,אמת
ירושלים,3000,436,453,247,3,244,63,5,6,0,0,0,36,0,0,0,0,17,0,55,45,0,0,0,1,12,0,0,1,1,0,2,"עמק רפאים,22 ",31.764873,35.220969,1,אמת
ירושלים,3000,437,591,341,2,339,104,3,6,0,0,0,35,0,0,0,0,23,0,77,55,0,0,0,0,21,0,0,1,7,0,7,"מסריק,10 ",31.763311,35.220997,1,אמת
ירושלים,3000,438,643,409,4,405,78,5,5,0,0,0,38,0,0,0,0,28,3,159,44,1,0,0,0,29,0,0,2,5,1,7,"עמק רפאים,22 ",31.764873,35.220969,14,מחל
ירושלים,3000,439,683,442,2,440,81,31,6,0,0,0,60,0,0,0,0,24,2,134,64,0,0,0,0,16,1,0,0,14,0,7,"רחל אמנו,27 ",31.763829,35.213897,14,מחל
ירושלים,3000,440,676,435,8,427,102,4,7,0,0,0,53,0,0,0,0,32,5,127,50,1,1,0,0,27,0,0,2,6,0,10,"מסריק,10 ",31.763311,35.220997,14,מחל
ירושלים,3000,441,466,291,4,287,52,5,5,0,0,0,40,1,0,0,0,20,4,98,27,0,0,0,0,21,0,0,0,5,0,9,"רחל אמנו,27 ",31.763829,35.213897,14,מחל
ירושלים,3000,442,743,486,7,479,109,4,7,0,0,0,52,0,0,0,0,31,3,124,92,1,0,0,1,31,0,0,2,15,0,7,"כט' בנובמבר,13 ",31.766343,35.215624,14,מחל
ירושלים,3000,443,471,388,11,377,0,288,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,19,0,58,"הרב אבן דנן,30 ",31.781324,35.172492,2,ג
ירושלים,3000,444,433,340,1,339,110,3,1,0,0,0,15,0,0,0,0,30,10,94,30,0,0,0,0,41,0,0,0,3,0,2,"שד הרצל,137 ",31.777009,35.186142,1,אמת
ירושלים,3000,445,535,421,13,408,2,259,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1,31,0,101,"מעגלות הרב פרדס,39 ",31.839121,35.24546,2,ג
ירושלים,3000,450,698,521,11,510,5,388,1,0,0,0,5,0,0,0,0,4,0,12,1,0,0,1,0,2,0,0,0,40,0,51,"ירמיהו,5 ",31.792334,35.209964,2,ג
ירושלים,3000,451,538,335,10,325,30,7,1,0,0,0,19,0,0,0,0,12,79,127,9,0,0,0,0,23,1,0,3,6,0,8,"קדושי בבל,22 ",31.747945,35.238176,14,מחל
ירושלים,3000,452,462,274,7,267,59,3,1,0,0,0,47,0,0,0,0,20,5,70,30,2,0,0,0,17,0,0,0,12,0,1,"רחל אמנו,27 ",31.763829,35.213897,14,מחל
ירושלים,3000,453,555,469,0,469,0,422,0,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,7,0,31,"ראשון לציון,7 ",31.793445,35.201883,2,ג
ירושלים,3000,456,443,276,1,275,69,5,7,0,0,0,27,0,0,0,0,18,2,61,43,1,0,0,0,19,1,0,1,9,1,11,"יהודה,31 ",31.757719,35.217286,1,אמת
